Time	Lead II
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	0
0.07	0
0.08	0
0.09	0
0.1	0
0.11	0
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	0
0.24	0
0.25	0
0.26	0
0.27	0
0.28	0
0.29	0
0.3	0
0.31	0
0.32	0
0.33	0
0.34	0
0.35	0
0.36	0
0.37	0
0.38	0
0.39	0
0.4	0
0.41	0
0.42	0
0.43	0
0.44	0
0.45	0
0.46	0
0.47	0
0.48	0
0.49	0
0.5	0
0.51	0
0.52	0
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	0
0.59	0
0.6	0
0.61	0
0.62	0
0.63	0
0.64	0
0.65	0
0.66	0
0.67	0
0.68	0
0.69	0
0.7	0
0.71	0
0.72	0
0.73	0
0.74	0
0.75	0
0.76	0
0.77	0
0.78	0
0.79	0
0.8	0
0.81	0
0.82	0
0.83	0
0.84	0
0.85	0
0.86	0
0.87	0
0.88	0
0.89	0
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1	0
1.01	0
1.02	0
1.03	0
1.04	0
1.05	0
1.06	0
1.07	0
1.08	0
1.09	0
1.1	0
1.11	0
1.12	0
1.13	0
1.14	0
1.15	0
1.16	0
1.17	0
1.18	0
1.19	0
1.2	0
1.21	0
1.22	0
1.23	0
1.24	0
1.25	0
1.26	0
1.27	0
1.28	0
1.29	0
1.3	0
1.31	0
1.32	0
1.33	0
1.34	0
1.35	0
1.36	0
1.37	0
1.38	0
1.39	0
1.4	0
1.41	0
1.42	0
1.43	0
1.44	0
1.45	0
1.46	0
1.47	0
1.48	0
1.49	0
1.5	0
1.51	0
1.52	0
1.53	0
1.54	0
1.55	0
1.56	0
1.57	0
1.58	0
1.59	0
1.6	0
1.61	0
1.62	0
1.63	0
1.64	0
1.65	0
1.66	0
1.67	0
1.68	0
1.69	0
1.7	0
1.71	0
1.72	0
1.73	0
1.74	0
1.75	0
1.76	0
1.77	0
1.78	0
1.79	0
1.8	0
1.81	0
1.82	0
1.83	0
1.84	0
1.85	0
1.86	0
1.87	0
1.88	0
1.89	0
1.9	0
1.91	0
1.92	0
1.93	0
1.94	0
1.95	0
1.96	0
1.97	0
1.98	0
1.99	0
2	0.00677194
2.01	0.210551
2.02	0.62126
2.03	0.703997
2.04	0.579774
2.05	0.461728
2.06	0.359979
2.07	0.354476
2.08	0.326362
2.09	0.309069
2.1	0.311612
2.11	0.276638
2.12	0.296203
2.13	0.282268
2.14	0.271837
2.15	0.287296
2.16	0.262851
2.17	0.285785
2.18	0.268659
2.19	0.268633
2.2	0.299138
2.21	0.288016
2.22	0.324943
2.23	0.330326
2.24	0.344994
2.25	0.388973
2.26	0.378564
2.27	0.39874
2.28	0.364458
2.29	0.317057
2.3	0.284593
2.31	0.210992
2.32	0.187961
2.33	0.144075
2.34	0.125216
2.35	0.13498
2.36	0.10921
2.37	0.126903
2.38	0.109918
2.39	0.100992
2.4	0.110639
2.41	0.0847962
2.42	0.112736
2.43	0.120507
2.44	0.142983
2.45	0.186076
2.46	0.182413
2.47	0.202183
2.48	0.165541
2.49	0.121646
2.5	0.0942696
2.51	0.0386624
2.52	0.0403207
2.53	0.0165411
2.54	-0.00368982
2.55	0.00167432
2.56	-0.0279542
2.57	-0.016911
2.58	-0.0629928
2.59	-0.010041
2.6	0.380394
2.61	0.871747
2.62	0.987304
2.63	0.630979
2.64	0.26508
2.65	0.103311
2.66	0.0209667
2.67	0.0286699
2.68	0.00868548
2.69	-0.00271965
2.7	0.0146653
2.71	-0.0121964
2.72	0.00621618
2.73	0.00298707
2.74	0.014675
2.75	0.0431881
2.76	0.013696
2.77	0.0415827
2.78	0.0474932
2.79	0.0596277
2.8	0.0961262
2.81	0.0842564
2.82	0.129514
2.83	0.14739
2.84	0.167721
2.85	0.208584
2.86	0.197461
2.87	0.226512
2.88	0.194131
2.89	0.147602
2.9	0.125625
2.91	0.0594088
2.92	0.0494956
2.93	0.0163802
2.94	-0.00556791
2.95	0.00888814
2.96	-0.0164179
2.97	0.00425354
2.98	-0.00101505
2.99	-0.00809102
3	0.00938734
3.01	-0.0160433
3.02	0.0142186
3.03	0.0248961
3.04	0.0423613
3.05	0.089224
3.06	0.0840977
3.07	0.108975
3.08	0.0852357
3.09	0.0471213
3.1	0.0278854
3.11	-0.0326566
3.12	-0.0334673
3.13	-0.0586067
3.14	-0.0723033
3.15	-0.0596288
3.16	-0.089861
3.17	-0.0792688
3.18	-0.126149
3.19	-0.092082
3.2	0.27398
3.21	0.79939
3.22	0.986338
3.23	0.651582
3.24	0.264625
3.25	0.0690124
3.26	-0.0446773
3.27	-0.0512279
3.28	-0.0648494
3.29	-0.0681562
3.3	-0.046728
3.31	-0.0753419
3.32	-0.0567939
3.33	-0.0671252
3.34	-0.0637627
3.35	-0.0319872
3.36	-0.0536015
3.37	-0.0279711
3.38	-0.0251593
3.39	-0.0208319
3.4	0.0158998
3.41	0.0130111
3.42	0.0557248
3.43	0.0710922
3.44	0.0903628
3.45	0.139351
3.46	0.1302
3.47	0.153042
3.48	0.127622
3.49	0.0897989
3.5	0.0706026
3.51	-0.00409917
3.52	-0.016731
3.53	-0.0405766
3.54	-0.0583931
3.55	-0.0373171
3.56	-0.0645325
3.57	-0.0415477
3.58	-0.0530563
3.59	-0.0695398
3.6	-0.041333
3.61	-0.0639215
3.62	-0.0485589
3.63	-0.050386
3.64	-0.0549005
3.65	-0.0346477
3.66	-0.0588608
3.67	-0.0149852
3.68	0.00204342
3.69	0.0124626
3.7	0.0532455
3.71	0.0443829
3.72	0.0630316
3.73	0.0163934
3.74	-0.0466698
3.75	-0.0607845
3.76	-0.106553
3.77	-0.100969
3.78	-0.116202
3.79	-0.124174
3.8	-0.0980122
3.81	-0.139871
3.82	-0.162344
3.83	-0.067556
3.84	0.393768
3.85	0.964537
3.86	0.944261
3.87	0.558104
3.88	0.188784
3.89	-0.000371845
3.9	-0.040102
3.91	-0.0801077
3.92	-0.068918
3.93	-0.0776402
3.94	-0.0739882
3.95	-0.0450519
3.96	-0.0784306
3.97	-0.0579722
3.98	-0.0500135
3.99	-0.0523343
4	-0.0298058
4.01	-0.0470435
4.02	-0.00473799
4.03	0.00957591
4.04	0.00974663
4.05	0.0496605
4.06	0.0543855
4.07	0.107291
4.08	0.133965
4.09	0.145123
4.1	0.192418
4.11	0.170222
4.12	0.164275
4.13	0.113741
4.14	0.0495208
4.15	0.0219942
4.16	-0.038223
4.17	-0.0345309
4.18	-0.0463014
4.19	-0.0532194
4.2	-0.027827
4.21	-0.0567578
4.22	-0.0385755
4.23	-0.0423098
4.24	-0.0562709
4.25	-0.0323141
4.26	-0.0482111
4.27	-0.0314866
4.28	-0.0430855
4.29	-0.0561475
4.3	-0.0352129
4.31	-0.0705407
4.32	-0.0591112
4.33	-0.0718003
4.34	-0.0830351
4.35	-0.0555976
4.36	-0.0802498
4.37	-0.0612374
4.38	-0.0733836
4.39	-0.0689352
4.4	-0.00873745
4.41	-0.00351238
4.42	0.0343134
4.43	0.0383876
4.44	0.0288766
4.45	0.0304559
4.46	-0.0386514
4.47	-0.0629983
4.48	-0.0971932
4.49	-0.117481
4.5	-0.0910841
4.51	-0.113466
4.52	-0.0912335
4.53	-0.103989
